Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Alistair Sutherland,Practising public speaking: user responses to using a mirror versus a multimodal positive computing system.,"Dermody, Fiona, Sutherland, Alistair","3rd International Conference on Human Computer Interaction Theory and Applications (HUCAPP), 25-27 Feb 2019, Prague, Czech Republic",2019,"Fiona Dermody, Alistair Sutherland",,"Dermody, Fiona, Sutherland, Alistair",978-989-758-354-4,,Conference or Workshop Item (Paper),Conference,Yes,,,Real-time feedback; Multimodal Interfaces; Positive Computing; Human Computer Interaction; Public Speaking,Computer Science > Interactive computer systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23429,24 Jun 2019 12:43 by  Alistair Sutherland. Last Modified 24 Jun 2019 12:43,"Chessa, Manuela and Paljic, Alexis and Braz, Jose, (eds.)Proceedings of the 14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications - Volume 2: HUCAPP,.2.  Scitepress. ISBN 978-989-758-354-4",Scitepress,http://dx.doi.org/10.5220/0007694101950201,© 2019 The Authors,,,,
Alistair Sutherland,Hand orientation redundancy filter applied to hand-shapes dataset.,"Oliveira, Marlon, Chatbri, Houssem, Yarlapati, Naresh, O'Connor, Noel E., Sutherland, Alistair","Applications of Intelligent Systems - AAPIS 2019, 7-12 Jan 2019, Las Palmas de Gran Canaria, Spain.",2018,"Marlon Oliveira, Houssem Chatbri, Naresh Yarlapati, Noel E. O'Connor, Alistair Sutherland","Oliveira, Marlon, ORCID: 0000-0003-0528-3807, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Chatbri, Houssem, Yarlapati, Naresh, Sutherland, Alistair",978-1-4503-6085-2/19,,Conference or Workshop Item (Paper),Conference,Yes,,,;,Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23078,13 Mar 2019 09:53 by  Noel Edward O'connor. Last Modified 31 May 2019 08:18,Proceedings of APPIS 2019. ACM International Conference Proceedings Series.  Association for Computing Machinery (ACM). ISBN 978-1-4503-6085-2/19,Association for Computing Machinery (ACM),https://doi.org/10.1145/3309772.3309794,© 2019 Association for Computing Machinery (ACM),Science Foundation Ireland  (SFI) under grant number SFI/12/RC/2289,,,
Alistair Sutherland,Multimodal systems for public speaking: a case in support of a positive computing approach.,"Dermody, Fiona, Sutherland, Alistair","Conference on Computer-Human Interaction Research and Applications (CHIRA18), 19-21 Sept 2018, Seville, Spain",2018,"Fiona Dermody, Alistair Sutherland",,"Dermody, Fiona, Sutherland, Alistair",978-989-758-328-5,,Conference or Workshop Item (Paper),Conference,Yes,,,Multimodal Interfaces; Positive Computing; Human Computer Interaction; Public Speaking; Real-time Feedback,Computer Science > Interactive computer systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23433,25 Jun 2019 10:28 by  Alistair Sutherland. Last Modified 05 Jan 2021 12:14,"Plácido da Silva, Hugo and Constantine, Larry and Escalona, Maria Jose and Jimenez Ramirez, Andres and Helfert, Markus, (eds.)Proceedings of the 2nd International Conference on Computer-Human Interaction Research and Applications.1.  Scitepress. ISBN 978-989-758-328-5",Scitepress,http://dx.doi.org/10.5220/0006961401700175,© 2018 the Authors,,,,
Alistair Sutherland,A comparison between end-to-end approaches and feature extraction based approaches for Sign Language recognition.,"Oliveira, Marlon, Chatbri, Houssem, Little, Suzanne, O'Connor, Noel E., Sutherland, Alistair","Image and Vision Computing New Zealand 2017 (IVCNZ), 4-6 Dec 2017, Christchurch, New Zealand.",2018,"Marlon Oliveira, Houssem Chatbri, Suzanne Little, Noel E. O'Connor, Alistair Sutherland","Oliveira, Marlon, ORCID: 0000-0003-0528-3807, Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Chatbri, Houssem, Sutherland, Alistair",,,Conference or Workshop Item (Paper),Conference,Yes,,,handshape recognition; machine learning; pattern recognition; sign language,Computer Science > Machine learning. Computer Science > Artificial intelligence. Computer Science > Image processing. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22132,07 Dec 2017 12:49 by  Houssem Chatbri. Last Modified 07 Feb 2019 10:34,"2017 International Conference on Image and Vision Computing New Zealand (IVCNZ). Image and Vision Computing New Zealand, IVCNZ, International Conference.  IEEE Computer Society.",IEEE Computer Society,https://doi.org/10.1109/IVCNZ.2017.8402478,"© 2017 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained
for all other users, including reprinting/ republishing this material for advertising or
promotional purposes, creating new collective works for resale or redistribution to servers or
lists, or reuse of any copyrighted components of this work in other works.","CAPES/Brazilian Science without Borders, process no.: 9064-13-3, European Regional Development Fund, IRC under Grant no. GOIPD/2016/61, SFI under Grant no. SFI/12/RC/2289 (Insight)",,,
Alistair Sutherland,A multimodal positive computing system for public speaking: evaluating user responses to avatar and video speaker representations.,"Dermody, Fiona, Sutherland, Alistair","2nd International Conference on Human Computer Interaction Theory and Applications (HUCAPP), 27-29 Jan 2018, Funchal, Madeira",2018,"Fiona Dermody, Alistair Sutherland",,"Dermody, Fiona, Sutherland, Alistair",978-989-758-288-2,,Conference or Workshop Item (Paper),Conference,Yes,,,Real-time Feedback; Multimodal Interfaces; Positive Computing; HCI; Human Computer Interaction; Public Speaking.,Computer Science > Interactive computer systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23434,25 Jun 2019 10:48 by  Alistair Sutherland. Last Modified 25 Jun 2019 10:48,"Proceedings of the 13th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications - Volume 2: HUCAPP.2.  Scitepress. ISBN 978-989-758-288-2",Scitepress,http://dx.doi.org/10.5220/0006619600380043,© 2018 The Authors,,"This material is based upon works supported by
Dublin City University under the Daniel O’Hare Research Scholarship scheme. System prototypes were
developed in collaboration with interns from École
Polytechnique de l’Université Paris-Sud and l’École
Supérieure d’Informatique, Électronique, Automatique (ESIEA) France.",,
Alistair Sutherland,Irish sign language recognition using principal component analysis and convolutional neural networks.,"Oliveira, Marlon, Chatbri, Houssem, Little, Suzanne, Ferstl, Ylva, O'Connor, Noel E., Sutherland, Alistair","International Conference on Digital Image Computing: Techniques and Applications (DICTA), 29 Nov - 1 Dec 2017, Sydney, Australia.",2017,"Marlon Oliveira, Houssem Chatbri, Suzanne Little, Ylva Ferstl, Noel E. O'Connor, Alistair Sutherland","Oliveira, Marlon, ORCID: 0000-0003-0528-3807, Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135, Sutherland, Alistair, ORCID: 0000-0003-0528-3807","Chatbri, Houssem, Ferstl, Ylva",,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Machine learning. Computer Science > Artificial intelligence. ,UNSPECIFIED,,22110,30 Nov 2017 13:41 by  Houssem Chatbri. Last Modified 07 Feb 2019 10:36,,,,© 2017 The Authors,"CAPES/Brazilian Science without Borders, process no.: 9064-13-3, SFI Research Centres Programme (Grant 13/RC/2106), IRC under Grant no. GOIPD/2016/61, SFI/12/RC/2289",,,
Alistair Sutherland,Educational video classification by using a transcript to image transform and supervised learning.,"Chatbri, Houssem, Oliveira, Marlon, McGuinness, Kevin, Little, Suzanne, Kameyama, Keisuke, Kwan, Paul, Sutherland, Alistair, O'Connor, Noel E.","International Conference on Image Processing Theory, Tools and Applications (IPTA), 28 Nov - 1 Dec 2017, Montreal, Canada",2017,"Houssem Chatbri, Marlon Oliveira, Kevin McGuinness, Suzanne Little, Keisuke Kameyama, Paul Kwan, Alistair Sutherland, Noel E. O'Connor","Oliveira, Marlon, ORCID: 0000-0003-0528-3807, McGuinness, Kevin, ORCID: 0000-0003-1336-6477, Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Chatbri, Houssem, Kameyama, Keisuke, Kwan, Paul, Sutherland, Alistair",978-1-5386-1842-4,,Conference or Workshop Item (Speech),Conference,Yes,,,Educational video classification; transcript features; convolutional neural networks (CNN); principal component analysis (PCA),Computer Science > Machine learning. Computer Science > Artificial intelligence. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22185,10 Jan 2018 15:51 by  Houssem Chatbri. Last Modified 07 Feb 2019 10:35,,IEEE Computer Society,,© 2017 IEEE,"Irish Research Council for Science Engineering and Technology, SFI/12/RC/2289",Research Centre: Insight Centre for Data Analytics,,
Alistair Sutherland,A Dataset for Irish sign language recognition.,"Oliveira, Marlon, Chatbri, Houssem, Ferstl, Ylva, Farouk, Mohamed, Little, Suzanne, O'Connor, Noel E., Sutherland, Alistair","Irish Machine Vision and Image Processing Conference (IMVIP), 30 Aug- 1 Sep 2017, Maynooth, Ireland. (In Press)",2017,"Marlon Oliveira, Houssem Chatbri, Ylva Ferstl, Mohamed Farouk, Suzanne Little, Noel E. O'Connor, Alistair Sutherland","Oliveira, Marlon, ORCID: 0000-0003-0528-3807, Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Chatbri, Houssem, Ferstl, Ylva, Farouk, Mohamed, Sutherland, Alistair",,,Conference or Workshop Item (Paper),Conference,Yes,,,Irish Sign Language; Pattern Recognition; Image Dataset,Computer Science > Artificial intelligence. Computer Science > Image processing. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21882,04 Sep 2017 13:42 by  Houssem Chatbri. Last Modified 07 Feb 2019 10:35,,,,,"CAPES/Brazilian Science without Borders, process no.: 9064-13-3, SFI Research Centres Programme (Grant 13/RC/2106), IRC Grant no. GOIPD/2016/61, in part from the EU H2020 Programme grant no. 688099 (Cloud-LSVA), SFI under Grant no. SFI/12/RC/2289 (Insight), European Regional Development Fund",,,
Alistair Sutherland,"Multimodal system for public speaking with real time
feedback: a positive computing perspective.","Dermody, Fiona, Sutherland, Alistair","International Conference on Multimodal Interaction, 12-16 Nov 2016, Tokyo, Japan",2016,"Fiona Dermody, Alistair Sutherland","Sutherland, Alistair, ORCID: 0000-0001-7198-8931","Dermody, Fiona",978-1-4503-4556-9,,Conference or Workshop Item (Other),Conference,Yes,,,"Multimodal Interface; Affective Computing; Human Computer
Interaction; Positive Computing; Public Speaking",Computer Science > Interactive computer systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22971,06 Feb 2019 14:41 by  Alistair Sutherland. Last Modified 06 Feb 2019 14:41,Proceedings of the 18th International Conference on Multimodal Interaction (ICMI2016)..  ACM. ISBN 978-1-4503-4556-9,ACM,http://dx.doi.org/10.1145/2993148.2998536,© 2016 The Authors,DCU Enhancing Performance,,,
Alistair Sutherland,A multimodal system for public speaking with real time feedback.,"Dermody, Fiona, Sutherland, Alistair","International Conference on Multimodal Interaction, 9-13 Nov 2015, Seattle, USA",2015,"Fiona Dermody, Alistair Sutherland",,"Dermody, Fiona, Sutherland, Alistair",978-1-4503-3912-4,,Conference or Workshop Item (Other),Conference,Yes,,,"Multimodal Interface; Affective Computing; Human Computer
Interaction; Social Signal Processing; Public Speaking.",Computer Science > Interactive computer systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22972,07 Feb 2019 10:39 by  Alistair Sutherland. Last Modified 07 Feb 2019 10:39,Proceedings of the 2015 ACM on International Conference on Multimodal Interaction..  ACM. ISBN 978-1-4503-3912-4,ACM,http://dx.doi.org/10.1145/2818346.2823295,© 2015 The Authors,DCU Enhancing Performance,,,
